GAME_DATE,HOME_TEAM_ID,HOME_TEAM_NAME,_2pointer_PCT_HOME,_3pointer_PCT_HOME,FreeThrow_PCT_HOME,Assists_HOME,Rebounds_HOME,VISITOR_TEAM_ID,VISITOR_TEAM_NAME,_2pointer_PCT_AWAY,_3pointer_PCT_AWAY,FreeThrow_PCT_AWAY,Assists_AWAY,Rebounds_AWAY,HOME_TEAM_WINS
2004-03-30,1610612747,Lakers,0.519,0.571,0.714,30.0,36.0,1610612740,Pelicans,0.392,0.133,0.848,15.0,41.0,1
2004-03-30,1610612742,Mavericks,0.544,0.6,0.733,23.0,46.0,1610612739,Cavaliers,0.489,0.0,0.656,25.0,44.0,1
2004-03-30,1610612743,Nuggets,0.505,0.417,0.794,33.0,42.0,1610612760,Thunder,0.5,0.48,0.708,23.0,40.0,1
2004-03-30,1610612749,Bucks,0.465,0.5,0.833,24.0,42.0,1610612754,Pacers,0.425,0.294,0.867,20.0,33.0,1
2004-03-30,1610612755,76ers,0.443,0.333,0.857,24.0,52.0,1610612744,Warriors,0.375,0.294,0.6,17.0,45.0,1
2004-03-29,1610612759,Spurs,0.512,0.364,0.643,20.0,45.0,1610612739,Cavaliers,0.474,0.75,0.941,23.0,33.0,1
2004-03-29,1610612752,Knicks,0.469,0.333,0.813,18.0,40.0,1610612757,Trail Blazers,0.5,0.273,0.87,17.0,36.0,1
2004-03-29,1610612737,Hawks,0.41,0.286,0.9,20.0,49.0,1610612763,Grizzlies,0.505,0.409,0.717,27.0,43.0,0
2004-03-29,1610612756,Suns,0.493,0.167,0.758,16.0,43.0,1610612764,Wizards,0.398,0.2,0.605,11.0,40.0,1
2004-03-29,1610612748,Heat,0.432,0.286,0.829,17.0,35.0,1610612741,Bulls,0.392,0.316,0.824,13.0,50.0,1
2004-03-29,1610612745,Rockets,0.458,0.273,0.692,22.0,47.0,1610612750,Timberwolves,0.425,0.455,0.955,25.0,36.0,0
2004-03-29,1610612751,Nets,0.349,0.167,0.826,21.0,56.0,1610612738,Celtics,0.391,0.286,0.686,13.0,39.0,0
2004-03-28,1610612747,Lakers,0.375,0.25,0.694,12.0,44.0,1610612762,Jazz,0.413,0.5,0.667,19.0,46.0,1
2004-03-28,1610612754,Pacers,0.353,0.333,0.791,19.0,47.0,1610612748,Heat,0.39,0.438,0.765,22.0,43.0,1
2004-03-28,1610612738,Celtics,0.481,0.3,0.692,24.0,46.0,1610612755,76ers,0.27,0.333,0.625,16.0,43.0,1
2004-03-28,1610612744,Warriors,0.472,0.348,0.542,27.0,53.0,1610612746,Clippers,0.411,0.25,0.593,18.0,40.0,1
2004-03-28,1610612758,Kings,0.44,0.375,0.87,23.0,43.0,1610612764,Wizards,0.373,0.133,0.718,16.0,57.0,1
2004-03-28,1610612761,Raptors,0.463,0.154,0.714,19.0,40.0,1610612763,Grizzlies,0.554,0.429,0.594,22.0,36.0,0
2004-03-28,1610612749,Bucks,0.446,0.5,0.588,27.0,42.0,1610612745,Rockets,0.472,0.222,0.867,20.0,48.0,0
2004-03-28,1610612753,Magic,0.352,0.333,0.792,13.0,43.0,1610612742,Mavericks,0.556,0.5,0.8,34.0,53.0,0
2004-03-27,1610612746,Clippers,0.42,0.6,0.75,15.0,40.0,1610612750,Timberwolves,0.459,0.412,0.929,24.0,39.0,0
