,TEAM_NAME,SEASON,TEAM_ID,PTS_home,_2pointer_PCT_HOME,_3pointer_PCT_HOME,FreeThrow_PCT_HOME,Assists_HOME,Rebounds_HOME,HOME_TEAM_WINS,PTS_away,_2pointer_PCT_AWAY,_3pointer_PCT_AWAY,FreeThrow_PCT_AWAY,Assists_AWAY,Rebounds_AWAY,AWAY_TEAM_WINS
108,Hawks,2006,1610612737,3959.0,0.453,0.313,0.772,838.0,1693.0,18,3721.0,0.437,0.333,0.757,735.0,1595.0,12
109,Hawks,2007,1610612737,4173.0,0.469,0.332,0.784,1009.0,1764.0,25,3881.0,0.441,0.355,0.758,795.0,1698.0,12
110,Hawks,2008,1610612737,4045.0,0.47,0.364,0.74,919.0,1679.0,31,4001.0,0.448,0.367,0.737,738.0,1603.0,16
111,Hawks,2009,1610612737,4286.0,0.472,0.366,0.753,1019.0,1780.0,34,4052.0,0.465,0.353,0.753,770.0,1640.0,19
112,Hawks,2010,1610612737,3896.0,0.466,0.351,0.764,966.0,1583.0,24,3894.0,0.461,0.368,0.782,836.0,1639.0,20
113,Hawks,2012,1610612737,4075.0,0.471,0.377,0.692,1029.0,1698.0,25,3957.0,0.46,0.37,0.725,978.0,1653.0,19
114,Hawks,2013,1610612737,4135.0,0.454,0.355,0.783,1046.0,1669.0,24,4147.0,0.463,0.364,0.783,995.0,1609.0,14
115,Hawks,2014,1610612737,4245.0,0.477,0.381,0.784,1109.0,1683.0,35,4164.0,0.458,0.379,0.769,1002.0,1643.0,25
116,Hawks,2015,1610612737,4247.0,0.469,0.361,0.78,1113.0,1710.0,27,4186.0,0.448,0.342,0.776,987.0,1741.0,21
117,Hawks,2016,1610612737,4343.0,0.458,0.343,0.728,1013.0,1814.0,23,4116.0,0.446,0.34,0.724,925.0,1821.0,20
118,Hawks,2017,1610612737,4295.0,0.455,0.367,0.798,1046.0,1706.0,16,4180.0,0.44,0.36,0.776,900.0,1730.0,8
119,Hawks,2018,1610612737,4747.0,0.454,0.348,0.766,1097.0,1940.0,17,4547.0,0.449,0.354,0.737,1021.0,1840.0,12
120,Heat,2003,1610612748,3817.0,0.438,0.355,0.762,766.0,1723.0,29,3585.0,0.415,0.362,0.757,799.0,1676.0,13
121,Heat,2004,1610612748,4182.0,0.487,0.361,0.691,838.0,1776.0,35,4145.0,0.488,0.391,0.665,952.0,1750.0,24
122,Heat,2005,1610612748,4198.0,0.498,0.313,0.69,820.0,1751.0,31,3993.0,0.46,0.359,0.702,872.0,1782.0,21
123,Heat,2006,1610612748,3885.0,0.482,0.339,0.667,788.0,1638.0,27,3874.0,0.45,0.347,0.703,893.0,1705.0,17
124,Heat,2007,1610612748,3802.0,0.45,0.331,0.758,804.0,1549.0,9,3689.0,0.436,0.368,0.705,840.0,1536.0,6
125,Heat,2008,1610612748,4133.0,0.466,0.383,0.739,791.0,1680.0,28,3928.0,0.448,0.333,0.759,880.0,1559.0,15
126,Heat,2009,1610612748,3967.0,0.457,0.341,0.754,755.0,1703.0,24,3947.0,0.461,0.343,0.758,793.0,1725.0,23
127,Heat,2010,1610612748,4228.0,0.479,0.353,0.776,780.0,1727.0,30,4141.0,0.484,0.382,0.758,859.0,1729.0,28
128,Heat,2012,1610612748,4362.0,0.509,0.412,0.785,958.0,1584.0,37,4074.0,0.485,0.375,0.733,932.0,1582.0,29
129,Heat,2013,1610612748,4283.0,0.515,0.371,0.759,897.0,1530.0,32,4097.0,0.489,0.357,0.768,950.0,1494.0,22
130,Heat,2014,1610612748,3970.0,0.465,0.353,0.756,777.0,1623.0,20,3794.0,0.449,0.318,0.728,849.0,1585.0,17
131,Heat,2015,1610612748,4232.0,0.485,0.347,0.747,841.0,1801.0,28,3972.0,0.458,0.319,0.749,868.0,1817.0,20
132,Heat,2016,1610612748,4365.0,0.472,0.379,0.695,864.0,1788.0,23,4095.0,0.44,0.343,0.721,878.0,1789.0,18
133,Heat,2017,1610612748,4290.0,0.461,0.358,0.765,909.0,1779.0,26,4293.0,0.452,0.361,0.745,978.0,1826.0,17
134,Heat,2018,1610612748,4347.0,0.45,0.355,0.681,980.0,1911.0,19,4321.0,0.453,0.346,0.697,1011.0,1889.0,20
135,Hornets,2004,1610612766,3949.0,0.441,0.373,0.713,936.0,1735.0,14,3780.0,0.426,0.36,0.695,858.0,1683.0,4
136,Hornets,2005,1610612766,4038.0,0.432,0.332,0.722,854.0,1675.0,17,3905.0,0.433,0.334,0.731,863.0,1585.0,9
137,Hornets,2006,1610612766,3999.0,0.445,0.375,0.74,931.0,1671.0,20,3946.0,0.449,0.345,0.726,905.0,1595.0,13
138,Hornets,2007,1610612766,4094.0,0.46,0.371,0.721,875.0,1700.0,21,3865.0,0.446,0.354,0.71,873.0,1632.0,11
139,Hornets,2008,1610612766,3843.0,0.455,0.351,0.743,868.0,1685.0,23,3834.0,0.456,0.375,0.723,873.0,1567.0,12
